Date,Close
2023/12/30,112.6614063
2023/12/31,113.4518751
2024/1/1,113.2901925
2024/1/2,113.514738
2024/1/3,112.9458781
2024/1/4,113.6639038
2024/1/5,113.7619813
2024/1/6,114.5466118
2024/1/7,115.5096072
2024/1/8,115.544588
2024/1/9,116.5226926
2024/1/10,117.0702131
2024/1/11,117.238351
2024/1/12,117.3609468
2024/1/13,117.3817048
2024/1/14,118.0107514
2024/1/15,118.5477882
2024/1/16,119.3651233
2024/1/17,119.578848
2024/1/18,119.1492608
2024/1/19,119.3705714
2024/1/20,119.5412524
2024/1/21,119.9188863
2024/1/22,119.649447
2024/1/23,119.7045473
2024/1/24,119.6432538
2024/1/25,120.2568056
2024/1/26,120.1190593
2024/1/27,120.1952922
2024/1/28,120.556575
