Date,Close
2018/1/1,101.0434283
2018/1/2,102.0472223
2018/1/3,101.7650326
2018/1/4,103.0832735
2018/1/5,106.2232515
2018/1/6,105.7258009
2018/1/7,105.2307145
2018/1/8,108.5543484
2018/1/9,110.2205159
2018/1/10,109.1856017
2018/1/11,110.3703966
2018/1/12,109.3474448
2018/1/13,108.3289176
2018/1/14,108.8531478
2018/1/15,104.6878163
2018/1/16,101.0762586
2018/1/17,99.93958024
2018/1/18,97.9151419
2018/1/19,98.53053335
2018/1/20,96.74117142
2018/1/21,94.00861313
2018/1/22,96.76428529
2018/1/23,96.32734364
2018/1/24,96.45743989
2018/1/25,93.70888864
2018/1/26,92.68861864
2018/1/27,92.89424387
2018/1/28,90.75583031
2018/1/29,91.43776602
2018/1/30,90.33934482
2018/1/31,89.81231638
2018/2/1,88.73150309
2018/2/2,92.01861163
2018/2/3,91.99377172
2018/2/4,90.04771536
2018/2/5,91.52908116
2018/2/6,89.29422721
2018/2/7,89.66723348
2018/2/8,86.15286951
2018/2/9,83.86432872
2018/2/10,84.19452143
2018/2/11,85.43801824
2018/2/12,85.73084556
2018/2/13,85.53255306
2018/2/14,85.01746971
2018/2/15,82.50346574
2018/2/16,81.3156729
2018/2/17,80.56652986
2018/2/18,82.26990325
2018/2/19,82.83529212
2018/2/20,79.91445319
2018/2/21,80.43243306
2018/2/22,79.81297096
2018/2/23,78.73242784
2018/2/24,79.69560303
2018/2/25,81.3389256
2018/2/26,82.85391209
2018/2/27,81.46326299
2018/2/28,80.95947401
2018/3/1,81.49585227
2018/3/2,83.0859099
2018/3/3,82.28965735
2018/3/4,81.98410108
2018/3/5,80.17006352
2018/3/6,78.25206429
2018/3/7,79.52370075
2018/3/8,81.68076528
2018/3/9,81.56312844
2018/3/10,83.20015409
2018/3/11,83.80191755
2018/3/12,82.7206721
2018/3/13,83.31856985
2018/3/14,85.88150999
2018/3/15,85.81997411
2018/3/16,88.50552767
2018/3/17,83.86828921
2018/3/18,85.24692035
2018/3/19,85.39533024
2018/3/20,84.88465361
2018/3/21,85.04043525
2018/3/22,81.65996073
2018/3/23,81.30119278
2018/3/24,81.88186634
2018/3/25,84.30212079
2018/3/26,83.42829522
2018/3/27,82.07927036
2018/3/28,81.25559332
2018/3/29,82.74322416
2018/3/30,83.2872627
2018/3/31,82.40481715
2018/4/1,83.25073133
2018/4/2,83.41236687
2018/4/3,85.0283063
2018/4/4,83.83441859
2018/4/5,83.28503128
2018/4/6,82.63189648
2018/4/7,80.21323617
2018/4/8,80.68829148
2018/4/9,81.10957356
2018/4/10,81.11786857
